State,Full_State,Year,Overall_Homeless,Total_Population,Percent_Homeless
MD,Maryland,2015,8390,5985562,0.14
ME,Maine,2015,2372,1328262,0.18
MI,Michigan,2015,10516,9931715,0.11
MN,Minnesota,2015,7546,5482032,0.14
MO,Missouri,2015,6482,6071732,0.11
MS,Mississippi,2015,1983,2988471,0.07
MT,Montana,2015,1709,1030475,0.17
NC,North Carolina,2015,10685,10031646,0.11
ND,North Dakota,2015,1305,754066,0.17
NE,Nebraska,2015,2744,1891277,0.15
NH,New Hampshire,2015,1445,1336350,0.11
NJ,New Jersey,2015,10098,8867949,0.11
NM,New Mexico,2015,2629,2089291,0.13
NV,Nevada,2015,8743,2866939,0.3
NY,New York,2015,88250,19654666,0.45
OH,Ohio,2015,11182,11617527,0.1
OK,Oklahoma,2015,3777,3909500,0.1
OR,Oregon,2015,13226,4015792,0.33
PA,Pennsylvania,2015,15421,12784826,0.12
RI,Rhode Island,2015,1111,1056065,0.11
SC,South Carolina,2015,5354,4891938,0.11
SD,South Dakota,2015,1036,853988,0.12
TN,Tennessee,2015,9123,6591170,0.14
TX,Texas,2015,23678,27470056,0.09
UT,Utah,2015,3025,2981835,0.1
VA,Virginia,2015,7001,8361808,0.08
VT,Vermont,2015,1523,625216,0.24
WA,Washington,2015,19419,7163657,0.27
WI,Wisconsin,2015,6057,5760940,0.11
WV,West Virginia,2015,1835,1842050,0.1
WY,Wyoming,2015,798,585613,0.14
AK,Alaska,2016,1940,741456,0.26
AL,Alabama,2016,4111,4863525,0.08
AR,Arkansas,2016,2463,2989918,0.08
AZ,Arizona,2016,9707,6941072,0.14
CA,California,2016,118142,39167117,0.3
CO,Colorado,2016,10550,5539215,0.19
CT,Connecticut,2016,3902,3578141,0.11
DE,Delaware,2016,1070,948921,0.11
FL,Florida,2016,33559,20613477,0.16
GA,Georgia,2016,12909,10301890,0.13
HI,Hawaii,2016,7921,1427559,0.55
IA,Iowa,2016,3064,3131371,0.1
ID,Idaho,2016,2247,1682380,0.13
IL,Illinois,2016,11590,12820527,0.09
IN,Indiana,2016,5798,6634304,0.09
KS,Kansas,2016,2255,2910844,0.08
KY,Kentucky,2016,4237,4438182,0.1
LA,Louisiana,2016,3994,4678135,0.09
MA,Massachusetts,2016,19608,6823608,0.29
MD,Maryland,2016,7689,6003323,0.13
ME,Maine,2016,2241,1331317,0.17
MI,Michigan,2016,9316,9950571,0.09
MN,Minnesota,2016,7341,5522744,0.13
MO,Missouri,2016,6194,6087135,0.1
MS,Mississippi,2016,1738,2987938,0.06
MT,Montana,2016,1418,1040859,0.14
NC,North Carolina,2016,9559,10154788,0.09
ND,North Dakota,2016,923,754434,0.12
NE,Nebraska,2016,2754,1905616,0.14
NH,New Hampshire,2016,1366,1342307,0.1
NJ,New Jersey,2016,8895,8870827,0.1
NM,New Mexico,2016,2263,2091630,0.11
NV,Nevada,2016,7398,2917563,0.25
NY,New York,2016,86352,19633428,0.44
OH,Ohio,2016,10404,11634370,0.09
OK,Oklahoma,2016,4107,3926331,0.1
OR,Oregon,2016,13238,4089976,0.32
PA,Pennsylvania,2016,15339,12782275,0.12
RI,Rhode Island,2016,1160,1056770,0.11
SC,South Carolina,2016,5051,4957968,0.1
SD,South Dakota,2016,1072,862996,0.12
TN,Tennessee,2016,8779,6646010,0.13
TX,Texas,2016,23122,27914410,0.08
UT,Utah,2016,2807,3041868,0.09
VA,Virginia,2016,6268,8410106,0.07
VT,Vermont,2016,1117,623657,0.18
WA,Washington,2016,20827,7294771,0.29
WI,Wisconsin,2016,5685,5772628,0.1
WV,West Virginia,2016,1387,1831023,0.08
WY,Wyoming,2016,857,584215,0.15
AK,Alaska,2017,1845,739700,0.25
AL,Alabama,2017,3793,4874486,0.08
AR,Arkansas,2017,2467,3001345,0.08
AZ,Arizona,2017,8947,7044008,0.13
CA,California,2017,131532,39358497,0.33
CO,Colorado,2017,10940,5611885,0.19
CT,Connecticut,2017,3388,3573297,0.09
DE,Delaware,2017,994,956823,0.1
FL,Florida,2017,32190,20963613,0.15
GA,Georgia,2017,10174,10410330,0.1
