State,Number of CoCs,Overall Homeless,Sheltered ES Homeless,Sheltered TH Homeless,Sheltered SH Homeless,Sheltered Total Homeless,Unsheltered Homeless,Overall Homeless Individuals,Sheltered ES Homeless Individuals,Sheltered TH Homeless Individuals,Sheltered SH Homeless Individuals,Sheltered Total Homeless Individuals,Unsheltered Homeless Individuals,Overall Homeless People in Families,Sheltered ES Homeless People in Families,Sheltered TH Homeless People in Families,Sheltered Total Homeless People in Families,Unsheltered Homeless People in Families,Overall Homeless Family Households,Sheltered ES Homeless Family Households,Sheltered TH Homeless Family Households,Sheltered Total Homeless Family Households,Unsheltered Homeless Family Households,Sheltered SH Chronically Homeless,Overall Chronically Homeless Individuals,Sheltered ES Chronically Homeless Individuals,Sheltered SH Chronically Homeless Individuals,Sheltered Total Chronically Homeless Individuals,Unsheltered Chronically Homeless Individuals,Overall Homeless Veterans,Sheltered Total Homeless Veterans,Unsheltered Homeless Veterans,Year
NV,3,8497,2503,1442,25,3970,4527,7493,1946,1028,25,2999,4494,1004,557,414,971,33,341,176,152,328,13,16,1603,464,16,480,1123,1229,691,538,2012
NY,31,69566,53018,12302,162,65482,4084,30133,18481,7454,162,26097,4036,39433,34537,4848,39385,48,12170,10472,1682,12154,16,160,4324,1742,160,1902,2422,4961,4370,591,2012
OH,9,13977,6277,5874,95,12246,1731,7855,4038,2299,95,6432,1423,6122,2239,3575,5814,308,1943,705,1139,1844,99,73,1788,1123,73,1196,592,1244,1034,210,2012
OK,8,5032,2098,887,58,3043,1989,3454,1491,524,58,2073,1381,1578,607,363,970,608,519,216,119,335,184,23,481,214,23,237,244,404,299,105,2012
OR,7,15828,2600,3926,19,6545,9283,9788,1794,1679,19,3492,6296,6040,806,2247,3053,2987,2110,273,873,1146,964,15,2782,639,15,654,2128,1356,558,798,2012
PA,18,14736,6946,6512,202,13660,1076,7295,3950,2164,202,6316,979,7441,2996,4348,7344,97,2476,997,1444,2441,35,183,1564,788,183,971,593,1456,1321,135,2012
RI,1,1277,805,426,18,1249,28,788,578,164,18,760,28,489,227,262,489,0,182,91,91,182,0,14,148,134,14,148,0,96,96,0,2012
SC,4,4915,1460,1304,12,2776,2139,3327,1114,663,12,1789,1538,1588,346,641,987,601,551,137,234,371,180,12,388,101,12,113,275,543,320,223,2012
SD,1,859,514,281,0,795,64,512,310,155,0,465,47,347,204,126,330,17,119,71,44,115,4,0,113,100,0,100,13,124,114,10,2012
TN,10,9426,2863,2895,20,5778,3648,6905,2204,1943,20,4167,2738,2521,659,952,1611,910,833,223,310,533,300,18,2114,1035,18,1053,1061,1285,973,312,2012
TX,14,34052,10055,7302,144,17501,16551,20743,5749,3137,144,9030,11713,13309,4306,4165,8471,4838,4511,1531,1359,2890,1621,124,6115,1736,124,1860,4255,4364,1884,2480,2012
UT,3,3527,1725,1280,47,3052,475,2049,1091,503,47,1641,408,1478,634,777,1411,67,445,193,233,426,19,46,331,194,46,240,91,330,297,33,2012
VA,19,8424,4170,2774,51,6995,1429,5084,2811,937,51,3799,1285,3340,1359,1837,3196,144,1094,444,602,1046,48,31,1531,938,31,969,562,881,727,154,2012
VT,2,1160,562,369,6,937,223,653,278,199,6,483,170,507,284,170,454,53,172,89,64,153,19,6,190,122,6,128,62,109,93,16,2012
WA,7,20504,6053,8919,55,15027,5477,11273,4163,2226,55,6444,4829,9231,1890,6693,8583,648,2871,587,2089,2676,195,40,2041,1098,40,1138,903,1475,1097,378,2012
WI,4,6027,2868,2517,61,5446,581,3033,1681,877,61,2619,414,2994,1187,1640,2827,167,961,357,545,902,59,22,377,248,22,270,107,539,525,14,2012
WV,4,2410,1014,505,14,1533,877,1742,727,292,14,1033,709,668,287,213,500,168,243,97,68,165,78,9,346,163,9,172,174,268,219,49,2012
WY,1,1813,231,244,0,475,1338,1302,172,120,0,292,1010,511,59,124,183,328,171,25,32,57,114,0,375,97,0,97,278,311,128,183,2012
Total,425,621553,224599,163565,1991,390155,231398,382156,123381,73787,1991,199159,182997,239397,101218,89778,190996,48401,77155,32605,29191,61796,15359,1468,96268,31179,1468,32647,63621,60579,35143,25436,2012
AK,2,1946,1137,604,0,1741,205,1362,835,373,0,1208,154,584,302,231,533,51,196,105,77,182,14,0,166,124,0,124,42,210,188,22,2013
AL,8,4689,1555,1660,31,3246,1443,3387,1051,1130,31,2212,1175,1302,504,530,1034,268,495,206,169,375,120,30,768,219,30,249,519,511,363,148,2013
AR,6,3812,1037,627,0,1664,2148,3174,651,526,0,1177,1997,638,386,101,487,151,218,125,37,162,56,0,565,142,0,142,423,462,326,136,2013
AZ,3,10562,3893,3500,38,7431,3131,6510,2458,1166,38,3662,2848,4052,1435,2334,3769,283,1291,426,784,1210,81,38,1064,412,38,450,614,1222,901,321,2013
CA,40,118552,21928,23432,194,45554,72998,93458,14520,11712,194,26426,67032,25094,7408,11720,19128,5966,8267,2395,3863,6258,2009,79,29248,4098,79,4177,25071,12895,4886,8009,2013
CO,3,9754,4025,3543,23,7591,2163,4664,2335,717,23,3075,1589,5090,1690,2826,4516,574,1444,440,844,1284,160,23,1354,642,23,665,689,685,452,233,2013
CT,6,4448,2390,1139,0,3529,919,3101,1632,643,0,2275,826,1347,758,496,1254,93,475,263,175,438,37,0,872,542,0,542,330,341,267,74,2013
DE,1,946,516,410,10,936,10,575,353,202,10,565,10,371,163,208,371,0,119,53,66,119,0,7,65,55,7,62,3,89,86,3,2013
FL,28,47862,8755,10729,186,19670,28192,31359,5853,6291,186,12330,19029,16503,2902,4438,7340,9163,5806,959,1461,2420,3386,153,7778,1455,153,1608,6170,5505,2328,3177,2013
GA,9,16971,4824,3686,0,8510,8461,12880,3381,1869,0,5250,7630,4091,1443,1817,3260,831,1257,491,499,990,267,0,2713,842,0,842,1871,1805,900,905,2013
HI,2,6335,1226,2494,25,3745,2590,3355,596,521,25,1142,2213,2980,630,1973,2603,377,736,173,470,643,93,21,1031,191,21,212,819,558,234,324,2013
IA,3,3084,1203,1747,0,2950,134,1524,782,610,0,1392,132,1560,421,1137,1558,2,495,140,354,494,1,0,277,208,0,208,69,229,220,9,2013
ID,2,1781,745,659,0,1404,377,1084,490,285,0,775,309,697,255,374,629,68,211,73,119,192,19,0,193,105,0,105,88,208,162,46,2013
IL,20,13425,5160,5980,89,11229,2196,7958,3934,2081,89,6104,1854,5467,1226,3899,5125,342,1730,405,1224,1629,101,41,1403,849,41,890,513,1267,882,385,2013
IN,3,6096,3087,2285,24,5396,700,3751,2021,1122,24,3167,584,2345,1066,1163,2229,116,739,328,377,705,34,24,511,319,24,343,168,743,666,77,2013
KS,5,2693,1329,1044,9,2382,311,1480,787,442,9,1238,242,1213,542,602,1144,69,387,169,196,365,22,5,304,199,5,204,100,414,384,30,2013
KY,3,5245,2439,2042,10,4491,754,3302,1661,1062,10,2733,569,1943,778,980,1758,185,672,255,359,614,58,2,394,217,2,219,175,607,510,97,2013
LA,9,5226,1389,2228,34,3651,1575,3908,1098,1269,34,2401,1507,1318,291,959,1250,68,415,96,297,393,22,9,1015,218,9,227,788,575,383,192,2013
MA,18,19029,13962,4158,59,18179,850,6694,3362,2462,59,5883,811,12335,10600,1696,12296,39,4327,3653,661,4314,13,18,1577,1162,18,1180,397,1253,1204,49,2013
MD,16,8205,3713,2471,99,6283,1922,5221,2338,1280,99,3717,1504,2984,1375,1191,2566,418,997,467,405,872,125,69,1249,656,69,725,524,673,563,110,2013
ME,2,3016,1090,1851,13,2954,62,1563,788,717,13,1518,45,1453,302,1134,1436,17,494,105,382,487,7,6,159,153,6,159,0,164,150,14,2013
MI,21,11527,4927,4368,44,9339,2188,7236,3369,2106,44,5519,1717,4291,1558,2262,3820,471,1412,503,738,1241,171,20,969,558,20,578,391,1100,945,155,2013
MN,10,8214,4158,3131,10,7299,915,3728,2037,976,10,3023,705,4486,2121,2155,4276,210,1338,586,687,1273,65,10,915,612,10,622,293,349,286,63,2013
MO,8,8581,3381,3069,51,6501,2080,4652,1835,1479,51,3365,1287,3929,1546,1590,3136,793,1259,496,518,1014,245,42,695,352,42,394,301,843,667,176,2013
MS,3,2403,501,582,0,1083,1320,1753,323,325,0,648,1105,650,178,257,435,215,192,43,91,134,58,0,408,61,0,61,347,210,129,81,2013
MT,1,1878,706,388,0,1094,784,1211,410,164,0,574,637,667,296,224,520,147,207,89,76,165,42,0,210,55,0,55,155,309,118,191,2013
NC,12,12168,5281,3732,0,9013,3155,7530,3716,1667,0,5383,2147,4638,1565,2065,3630,1008,1520,519,650,1169,351,0,1451,675,0,675,776,1123,934,189,2013
ND,1,2069,540,134,0,674,1395,1230,370,73,0,443,787,839,170,61,231,608,244,62,21,83,161,0,110,68,0,68,42,241,60,181,2013
NE,3,3145,1532,1440,0,2972,173,1892,1041,692,0,1733,159,1253,491,748,1239,14,397,159,234,393,4,0,339,273,0,273,66,183,161,22,2013
NH,3,1447,685,551,9,1245,202,798,450,167,9,626,172,649,235,384,619,30,229,76,143,219,10,6,226,112,6,118,108,125,112,13,2013
NJ,17,12002,7224,3360,19,10603,1399,6093,3748,1149,19,4916,1177,5909,3476,2211,5687,222,1994,1189,728,1917,77,8,1002,630,8,638,364,540,420,120,2013
NM,2,2819,1495,896,0,2391,428,1786,1098,313,0,1411,375,1033,397,583,980,53,323,123,181,304,19,0,399,240,0,240,159,243,183,60,2013
NV,3,7039,2496,1182,20,3698,3341,6200,2015,864,20,2899,3301,839,481,318,799,40,316,195,109,304,12,1,718,374,1,375,343,790,477,313,2013
NY,30,77430,61742,11375,156,73273,4157,31235,20728,6330,156,27214,4021,46195,41014,5045,46059,136,13675,11961,1686,13647,28,152,4045,1521,152,1673,2372,4659,4201,458,2013
OH,9,12325,6336,4555,96,10987,1338,7611,4196,2180,96,6472,1139,4714,2140,2375,4515,199,1501,672,776,1448,53,66,1677,1069,66,1135,542,1212,1050,162,2013
OK,8,4408,2301,915,46,3262,1146,3179,1764,510,46,2320,859,1229,537,405,942,287,426,179,134,313,113,21,617,239,21,260,357,437,338,99,2013
OR,7,13822,2800,3619,13,6432,7390,8994,1983,1606,13,3602,5392,4828,817,2013,2830,1998,1524,276,629,905,619,11,2444,577,11,588,1856,1494,709,785,2013
PA,18,15086,6943,6555,229,13727,1359,7973,4207,2331,229,6767,1206,7113,2736,4224,6960,153,2409,929,1432,2361,48,182,1536,707,182,889,647,1462,1290,172,2013
RI,1,1384,850,400,17,1267,117,862,564,172,17,753,109,522,286,228,514,8,177,96,79,175,2,16,243,174,16,190,53,97,95,2,2013
SC,4,6544,1677,1722,12,3411,3133,4736,1300,1027,12,2339,2397,1808,377,695,1072,736,640,136,229,365,275,12,453,113,12,125,328,636,345,291,2013
SD,1,1094,433,322,0,755,339,557,255,139,0,394,163,537,178,183,361,176,154,56,59,115,39,0,117,42,0,42,75,125,106,19,2013
TN,10,9528,3421,2881,19,6321,3207,6909,2707,1906,19,4632,2277,2619,714,975,1689,930,880,249,332,581,299,18,1929,1061,18,1079,850,991,728,263,2013
TX,12,29615,9935,7456,134,17525,12090,20758,6259,3288,134,9681,11077,8857,3676,4168,7844,1013,2826,1140,1392,2532,294,111,4770,1566,111,1677,3093,3878,2007,1871,2013
UT,3,3277,1773,1037,49,2859,418,1959,1172,372,49,1593,366,1318,601,665,1266,52,406,189,202,391,15,49,347,219,49,268,79,327,290,37,2013
VA,16,7625,4285,2260,58,6603,1022,4532,2823,706,58,3587,945,3093,1462,1554,3016,77,984,469,490,959,25,45,1262,752,45,797,465,719,625,94,2013
VT,2,1454,959,307,4,1270,184,701,379,164,4,547,154,753,580,143,723,30,262,203,50,253,9,0,183,110,0,110,73,128,111,17,2013
WA,7,17760,5969,6684,54,12707,5053,10617,4032,1946,54,6032,4585,7143,1937,4738,6675,468,2217,614,1467,2081,136,45,1927,910,45,955,972,1318,1058,260,2013
WI,4,6104,3036,2638,62,5736,368,3005,1760,881,62,2703,302,3099,1276,1757,3033,66,1016,420,574,994,22,24,449,289,24,313,136,552,528,24,2013
WV,4,2240,1100,501,11,1612,628,1544,750,277,11,1038,506,696,350,224,574,122,228,117,75,192,36,8,390,203,8,211,179,329,292,37,2013
WY,1,953,292,209,0,501,452,677,245,61,0,306,371,276,47,148,195,81,84,11,44,55,29,0,221,116,0,116,105,137,110,27,2013
Total,415,590364,236658,156015,2025,394698,195666,368174,129278,71824,2025,203127,165047,222190,107380,84191,191571,30619,70957,33586,27269,60855,10102,1438,86289,27980,1438,29418,56871,55619,34909,20710,2013
AK,2,1784,1139,500,0,1639,145,1209,848,261,0,1109,100,575,291,239,530,45,193,108,71,179,14,0,182,119,0,119,63,178,160,18,2014
AL,8,4561,1851,1636,31,3518,1043,3115,1419,923,31,2373,742,1446,432,713,1145,301,457,141,216,357,100,26,618,219,26,245,373,542,450,92,2014
AR,6,2936,1021,482,0,1503,1433,2303,775,295,0,1070,1233,633,246,187,433,200,240,108,64,172,68,0,516,82,0,82,434,361,220,141,2014
AZ,3,10495,4291,3595,40,7926,2569,6194,2589,1222,40,3851,2343,4301,1702,2373,4075,226,1295,532,702,1234,61,19,904,284,19,303,601,858,635,223,2014
CA,40,113952,20964,21365,186,42515,71437,90765,14114,10557,186,24857,65908,23187,6850,10808,17658,5529,6956,1944,3184,5128,1828,114,28200,4303,114,4417,23783,12096,4457,7639,2014
CO,3,10028,4002,4058,23,8083,1945,5573,2849,1163,23,4035,1538,4455,1153,2895,4048,407,1317,352,835,1187,130,0,1335,635,0,635,700,753,528,225,2014
CT,6,4450,2481,1050,0,3531,919,3069,1730,513,0,2243,826,1381,751,537,1288,93,495,263,195,458,37,0,1026,696,0,696,330,295,221,74,2014
DE,1,901,435,429,0,864,37,584,318,236,0,554,30,317,117,193,310,7,104,40,62,102,2,0,88,79,0,79,9,93,89,4,2014
FL,28,41542,10250,9469,132,19851,21691,28730,7319,5435,132,12886,15844,12812,2931,4034,6965,5847,4550,950,1277,2227,2323,105,6843,1612,105,1717,5126,4552,2424,2128,2014
GA,9,16521,4441,3773,0,8214,8307,12403,3004,1928,0,4932,7471,4118,1437,1845,3282,836,1291,446,577,1023,268,0,2645,862,0,862,1783,1443,647,796,2014
HI,2,6918,1162,2626,25,3813,3105,3750,481,658,25,1164,2586,3168,681,1968,2649,519,790,168,495,663,127,22,1109,123,22,145,964,593,247,346,2014
IA,3,3122,1387,1539,0,2926,196,1544,884,484,0,1368,176,1578,503,1055,1558,20,487,153,329,482,5,0,211,121,0,121,90,202,177,25,2014
ID,2,2104,739,729,0,1468,636,1234,525,323,0,848,386,870,214,406,620,250,264,72,125,197,67,0,156,69,0,69,87,215,135,80,2014
IL,20,13107,5031,6281,97,11409,1698,7350,3539,2157,97,5793,1557,5757,1492,4124,5616,141,1880,511,1313,1824,56,67,1349,824,67,891,458,1234,913,321,2014
IN,3,5971,3376,2170,22,5568,403,3953,2362,1176,22,3560,393,2018,1014,994,2008,10,654,342,309,651,3,15,542,418,15,433,109,725,687,38,2014
KS,5,2783,1460,1064,10,2534,249,1533,941,344,10,1295,238,1250,519,720,1239,11,395,174,217,391,4,1,290,183,1,184,106,393,356,37,2014
KY,3,5089,2382,1865,11,4258,831,3352,1761,1033,11,2805,547,1737,621,832,1453,284,564,202,294,496,68,3,614,421,3,424,190,600,558,42,2014
LA,9,4606,1451,2030,22,3503,1103,3444,1141,1201,22,2364,1080,1162,310,829,1139,23,376,109,259,368,8,3,743,229,3,232,511,437,332,105,2014
MA,18,21237,16835,3576,67,20478,759,6788,3757,2217,67,6041,747,14449,13078,1359,14437,12,4781,4275,502,4777,4,54,1590,1231,54,1285,305,1264,1234,30,2014
MD,16,7856,3703,2469,95,6267,1589,4980,2470,1307,95,3872,1108,2876,1233,1162,2395,481,948,415,388,803,145,69,1515,928,69,997,518,654,555,99,2014
ME,2,2726,1107,1515,11,2633,93,1348,758,513,11,1282,66,1378,349,1002,1351,27,388,108,268,376,12,5,218,195,5,200,18,152,138,14,2014
MI,21,12227,5513,4522,40,10075,2152,7535,3742,2134,40,5916,1619,4692,1771,2388,4159,533,1521,550,780,1330,191,19,1160,726,19,745,415,1122,994,128,2014
MN,10,8377,4414,3168,0,7582,795,3652,2072,934,0,3006,646,4725,2342,2234,4576,149,1422,642,741,1383,39,0,885,562,0,562,323,317,263,54,2014
MO,8,7282,3521,2732,56,6309,973,4307,2140,1455,56,3651,656,2975,1381,1277,2658,317,902,432,381,813,89,31,735,438,31,469,266,652,563,89,2014
MS,3,2226,732,673,0,1405,821,1714,559,374,0,933,781,512,173,299,472,40,179,60,105,165,14,0,275,74,0,74,201,279,221,58,2014
MT,1,1745,471,440,0,911,834,1167,319,174,0,493,674,578,152,266,418,160,166,42,80,122,44,0,256,71,0,71,185,256,94,162,2014
NC,12,11491,5631,3243,0,8874,2617,7498,3963,1775,0,5738,1760,3993,1668,1468,3136,857,1303,561,471,1032,271,0,1284,639,0,639,645,1164,982,182,2014
ND,1,1258,639,155,0,794,464,886,439,87,0,526,360,372,200,68,268,104,120,63,25,88,32,0,111,97,0,97,14,151,117,34,2014
NE,3,3026,1584,1333,0,2917,109,1893,1136,652,0,1788,105,1133,448,681,1129,4,347,136,210,346,1,0,365,336,0,336,29,241,224,17,2014
NH,3,1376,710,526,7,1243,133,795,464,205,7,676,119,581,246,321,567,14,213,88,119,207,6,7,301,244,7,251,50,171,162,9,2014
NJ,17,11671,7692,2989,55,10736,935,6446,4325,1156,55,5536,910,5225,3367,1833,5200,25,1716,1106,602,1708,8,11,1150,749,11,760,390,630,554,76,2014
NM,2,2746,1409,909,0,2318,428,1804,1090,339,0,1429,375,942,319,570,889,53,306,123,164,287,19,0,617,458,0,458,159,318,258,60,2014
NV,3,8582,3582,1205,10,4797,3785,7356,2612,949,10,3571,3785,1226,970,256,1226,0,397,310,87,397,0,3,697,93,3,96,601,1036,546,490,2014
NY,29,80590,66893,9405,189,76487,4103,32643,22476,5935,189,28600,4043,47947,44417,3470,47887,60,14338,13061,1258,14319,19,174,4350,1773,174,1947,2403,2542,2085,457,2014
OH,9,11823,7043,3604,73,10720,1103,7704,4702,1994,73,6769,935,4119,2341,1610,3951,168,1314,723,538,1261,53,32,1340,862,32,894,446,1236,1102,134,2014
OK,8,4191,2499,710,50,3259,932,2964,1839,402,50,2291,673,1227,660,308,968,259,400,219,103,322,78,19,585,347,19,366,219,408,273,135,2014
OR,7,12164,2767,3324,10,6101,6063,7988,2079,1576,10,3665,4323,4176,688,1748,2436,1740,1275,224,562,786,489,10,2207,495,10,505,1702,1292,702,590,2014
PA,18,15333,7733,6294,274,14301,1032,8359,4721,2425,274,7420,939,6974,3012,3869,6881,93,2384,1018,1339,2357,27,207,1449,776,207,983,466,1411,1336,75,2014
RI,1,1190,803,345,22,1170,20,779,590,149,22,761,18,411,213,196,409,2,132,66,65,131,1,21,204,177,21,198,6,108,108,0,2014
SC,4,5057,1782,1455,12,3249,1808,3813,1364,876,12,2252,1561,1244,418,579,997,247,445,136,201,337,108,12,273,88,12,100,173,703,399,304,2014
SD,1,885,528,302,0,830,55,490,321,129,0,450,40,395,207,173,380,15,121,65,52,117,4,0,81,68,0,68,13,132,128,4,2014
TN,10,9415,4160,2206,17,6383,3032,6800,3278,1398,17,4693,2107,2615,882,808,1690,925,804,271,227,498,306,17,1904,1152,17,1169,735,1142,920,222,2014
TX,12,28495,10601,7494,133,18228,10267,19177,6583,3042,133,9758,9419,9318,4018,4452,8470,848,2784,1193,1356,2549,235,91,4952,1801,91,1892,3060,2718,1576,1142,2014
UT,3,3081,1762,959,47,2768,313,1729,1145,348,47,1540,189,1352,617,611,1228,124,398,203,177,380,18,45,386,301,45,346,40,317,293,24,2014
VA,16,7020,4281,1987,62,6330,690,4234,2876,632,62,3570,664,2786,1405,1355,2760,26,883,457,416,873,10,49,965,625,49,674,291,620,535,85,2014
VT,2,1559,1031,359,6,1396,163,823,536,162,6,704,119,736,495,197,692,44,239,161,60,221,18,4,199,155,4,159,40,120,111,9,2014
WA,7,18442,6202,6296,42,12540,5902,11390,4280,1935,42,6257,5133,7052,1922,4361,6283,769,2182,589,1342,1931,251,30,2311,985,30,1015,1296,1433,1089,344,2014
WI,4,6055,3111,2541,60,5712,343,2929,1772,844,60,2676,253,3126,1339,1697,3036,90,1007,422,555,977,30,21,436,338,21,359,77,520,496,24,2014
WV,4,2013,1189,381,13,1583,430,1488,928,234,13,1175,313,525,261,147,408,117,173,83,48,131,42,4,424,275,4,279,145,333,303,30,2014
WY,1,757,268,295,0,563,194,463,209,118,0,327,136,294,59,177,236,58,89,18,58,76,13,0,105,86,0,86,19,116,95,21,2014
Total,414,576450,254327,144710,2014,401051,175399,360189,139355,67779,2014,209148,151041,216261,114972,76931,191903,24358,67613,35390,24239,59629,7984,1358,83989,29845,1358,31203,52786,49689,32119,17570,2014
AK,2,1956,1127,512,0,1639,317,1342,792,292,0,1084,258,614,335,220,555,59,180,94,69,163,17,0,182,70,0,70,112,180,149,31,2015
AL,8,3970,1574,1349,20,2943,1027,2868,1146,910,20,2076,792,1102,428,439,867,235,360,140,147,287,73,2,557,155,2,157,400,474,399,75,2015
AR,7,2560,1161,515,2,1678,882,1833,722,365,2,1089,744,727,439,150,589,138,240,145,53,198,42,0,524,234,0,234,290,456,385,71,2015
AZ,3,9896,3395,3504,40,6939,2957,6548,2147,1637,40,3824,2724,3348,1248,1867,3115,233,1002,378,559,937,65,21,1246,276,21,297,949,1220,672,548,2015
CA,43,115738,22750,19128,161,42039,73699,93156,14735,9947,161,24843,68313,22582,8015,9181,17196,5386,7195,2592,3001,5593,1602,102,29178,4067,102,4169,25009,11311,4309,7002,2015
CO,3,9953,3782,3328,24,7134,2819,5729,2630,1085,24,3739,1990,4224,1152,2243,3395,829,1242,356,640,996,246,24,1572,730,24,754,818,950,644,306,2015
CT,3,4047,2418,1003,0,3421,626,2719,1615,509,0,2124,595,1328,803,494,1297,31,456,271,174,445,11,0,538,240,0,240,298,282,241,41,2015
DE,1,953,529,387,0,916,37,602,361,204,0,565,37,351,168,183,351,0,115,53,62,115,0,0,64,59,0,59,5,79,74,5,2015
FL,27,35900,9894,8865,124,18883,17017,26325,6653,5256,124,12033,14292,9575,3241,3609,6850,2725,3053,996,1111,2107,946,55,6021,1155,55,1210,4811,3926,2372,1554,2015
GA,9,13790,3984,4003,0,7987,5803,9702,2596,2187,0,4783,4919,4088,1388,1816,3204,884,1236,508,506,1014,222,0,1994,568,0,568,1426,1548,866,682,2015
HI,2,7620,1257,2494,26,3777,3843,4307,541,676,26,1243,3064,3313,716,1818,2534,779,798,179,434,613,185,20,1372,133,20,153,1219,692,275,417,2015
IA,3,3081,1225,1653,0,2878,203,1501,808,494,0,1302,199,1580,417,1159,1576,4,496,136,359,495,1,0,201,147,0,147,54,207,175,32,2015
ID,2,1966,790,707,0,1497,469,1172,508,324,0,832,340,794,282,383,665,129,251,90,123,213,38,0,164,84,0,84,80,249,174,75,2015
IL,20,13177,4684,5694,85,10463,2714,8152,3420,2094,85,5599,2553,5025,1264,3600,4864,161,1648,433,1164,1597,51,58,1799,834,58,892,907,1226,769,457,2015
IN,3,5863,3082,2150,48,5280,583,3914,2099,1206,48,3353,561,1949,983,944,1927,22,636,325,306,631,5,15,608,435,15,450,158,790,726,64,2015
KS,5,2588,1353,918,12,2283,305,1466,865,314,12,1191,275,1122,488,604,1092,30,346,154,180,334,12,5,339,209,5,214,125,311,276,35,2015
KY,3,4538,2281,1515,0,3796,742,3151,1699,923,0,2622,529,1387,582,592,1174,213,467,202,196,398,69,0,383,345,0,345,38,591,541,50,2015
LA,9,4081,1306,1545,39,2890,1191,3217,929,1085,39,2053,1164,864,377,460,837,27,285,130,146,276,9,9,735,246,9,255,480,392,350,42,2015
MA,16,21135,17444,3052,46,20542,593,6378,3996,1772,46,5814,564,14757,13448,1280,14728,29,4903,4389,503,4892,11,35,1411,1135,35,1170,241,1133,1101,32,2015
MD,16,8390,3953,2543,98,6594,1796,5383,2572,1317,98,3987,1396,3007,1381,1226,2607,400,970,438,409,847,123,76,1634,847,76,923,711,714,586,128,2015
ME,2,2372,1085,1215,13,2313,59,1219,716,441,13,1170,49,1153,369,774,1143,10,358,119,236,355,3,1,193,178,1,179,14,151,142,9,2015
MI,21,10516,5393,3996,55,9444,1072,6546,3593,1905,55,5553,993,3970,1800,2091,3891,79,1285,573,688,1261,24,8,830,511,8,519,311,1067,991,76,2015
MN,10,7546,3764,2941,0,6705,841,3622,2101,886,0,2987,635,3924,1663,2055,3718,206,1192,521,600,1121,71,0,1124,833,0,833,291,297,253,44,2015
MO,8,6482,3379,1973,59,5411,1071,3434,1786,795,59,2640,794,3048,1593,1178,2771,277,926,507,338,845,81,52,875,484,52,536,339,540,430,110,2015
MS,3,1983,523,618,0,1141,842,1475,369,324,0,693,782,508,154,294,448,60,152,54,84,138,14,0,233,67,0,67,166,206,87,119,2015
MT,1,1709,535,302,0,837,872,1127,346,132,0,478,649,582,189,170,359,223,182,63,57,120,62,0,154,23,0,23,131,277,98,179,2015
NC,12,10685,5672,2588,0,8260,2425,7156,3934,1438,0,5372,1784,3529,1738,1150,2888,641,1110,565,356,921,189,0,1253,605,0,605,648,1092,904,188,2015
ND,1,1305,640,179,0,819,486,864,467,124,0,591,273,441,173,55,228,213,123,51,20,71,52,0,70,52,0,52,18,137,90,47,2015
NE,3,2744,1493,1128,0,2621,123,1720,1012,585,0,1597,123,1024,481,543,1024,0,327,152,175,327,0,0,257,201,0,201,56,247,231,16,2015
NH,3,1445,770,535,8,1313,132,778,480,178,8,666,112,667,290,357,647,20,244,101,137,238,6,8,257,197,8,205,52,138,124,14,2015
NJ,16,10098,6877,2225,22,9124,974,6189,3993,1278,22,5293,896,3909,2884,947,3831,78,1346,987,340,1327,19,6,1182,746,6,752,430,696,616,80,2015
NM,2,2629,1387,788,0,2175,454,1666,970,267,0,1237,429,963,417,521,938,25,296,128,162,290,6,0,621,360,0,360,261,278,214,64,2015
NV,3,8743,3251,1262,15,4528,4215,7858,2537,1094,15,3646,4212,885,714,168,882,3,279,218,60,278,1,4,585,104,4,108,477,860,516,344,2015
NY,27,88250,75646,8400,182,84228,4022,36135,26729,5261,182,32172,3963,52115,48917,3139,52056,59,15361,14169,1175,15344,17,169,4327,1813,169,1982,2345,2399,2268,131,2015
OH,9,11182,6942,3056,85,10083,1099,7565,4628,1877,85,6590,975,3617,2314,1179,3493,124,1108,669,404,1073,35,40,1160,742,40,782,378,1183,1073,110,2015
OK,8,3777,2309,665,25,2999,778,2781,1714,372,25,2111,670,996,595,293,888,108,343,201,104,305,38,22,508,267,22,289,219,351,253,98,2015
OR,7,13226,3214,2608,9,5831,7395,9461,2424,1615,9,4048,5413,3765,790,993,1783,1982,1179,259,327,586,593,9,3521,912,9,921,2600,1464,769,695,2015
PA,16,15421,7576,6155,262,13993,1428,8605,4596,2418,262,7276,1329,6816,2980,3737,6717,99,2299,1016,1253,2269,30,194,1442,715,194,909,533,1375,1295,80,2015
RI,1,1111,743,332,0,1075,36,706,530,143,0,673,33,405,213,189,402,3,112,59,52,111,1,0,110,100,0,100,10,107,105,2,2015
SC,4,5354,1639,1807,12,3458,1896,3934,1217,1236,12,2465,1469,1420,422,571,993,427,510,136,196,332,178,12,916,444,12,456,460,681,470,211,2015
SD,1,1036,642,258,0,900,136,630,412,94,0,506,124,406,230,164,394,12,125,71,51,122,3,0,85,59,0,59,26,177,170,7,2015
TN,10,9123,3540,2324,15,5879,3244,6516,2651,1409,15,4075,2441,2607,889,915,1804,803,869,295,283,578,291,7,1492,641,7,648,844,945,756,189,2015
TX,11,23678,10244,5829,119,16192,7486,16265,7050,2065,119,9234,7031,7413,3194,3764,6958,455,2316,986,1173,2159,157,92,3778,1451,92,1543,2235,2393,1490,903,2015
