State,Number of CoCs,Overall Homeless,Sheltered ES Homeless,Sheltered TH Homeless,Sheltered SH Homeless,Sheltered Total Homeless,Unsheltered Homeless,Overall Homeless Individuals,Sheltered ES Homeless Individuals,Sheltered TH Homeless Individuals,Sheltered SH Homeless Individuals,Sheltered Total Homeless Individuals,Unsheltered Homeless Individuals,Overall Homeless People in Families,Sheltered ES Homeless People in Families,Sheltered TH Homeless People in Families,Sheltered Total Homeless People in Families,Unsheltered Homeless People in Families,Overall Homeless Family Households,Sheltered ES Homeless Family Households,Sheltered TH Homeless Family Households,Sheltered Total Homeless Family Households,Unsheltered Homeless Family Households,Sheltered SH Chronically Homeless,Overall Chronically Homeless Individuals,Sheltered ES Chronically Homeless Individuals,Sheltered SH Chronically Homeless Individuals,Sheltered Total Chronically Homeless Individuals,Unsheltered Chronically Homeless Individuals,Overall Homeless Veterans,Sheltered Total Homeless Veterans,Unsheltered Homeless Veterans,Year
NV,3,11205,1381,6467,0,7848,3357,9565,1129,5104,0,6233,3332,1640,252,1363,1615,25,435,86,339,425,10,0,1415,253,0,253,1162,1843,1230,613,2010
NY,32,65606,50469,10856,142,61467,4139,26293,15205,6945,142,22292,4001,39313,35264,3911,39175,138,12332,10977,1306,12283,49,124,4259,1781,124,1905,2354,5857,5046,811,2010
OH,9,12569,6190,4452,87,10729,1840,7719,4119,2089,87,6295,1424,4850,2071,2363,4434,416,1595,643,810,1453,142,57,2240,1619,57,1676,564,1527,1293,234,2010
OK,8,5229,2350,920,45,3315,1914,3317,1712,482,45,2239,1078,1912,638,438,1076,836,665,229,131,360,305,19,620,376,19,395,225,474,350,124,2010
OR,8,19492,2446,4746,39,7231,12261,10731,1796,1819,39,3654,7077,8761,650,2927,3577,5184,2811,221,943,1164,1647,37,2601,646,37,683,1918,1285,573,712,2010
PA,17,14516,6878,6381,159,13418,1098,7191,4095,1871,159,6125,1066,7325,2783,4510,7293,32,2393,933,1447,2380,13,150,1524,718,150,868,656,1441,1274,167,2010
RI,1,1282,761,428,17,1206,76,704,442,173,17,632,72,578,319,255,574,4,216,105,110,215,1,17,86,43,17,60,26,91,87,4,2010
SC,4,4473,1577,1459,0,3036,1437,3194,1118,827,0,1945,1249,1279,459,632,1091,188,474,183,220,403,71,0,674,392,0,392,282,687,497,190,2010
SD,1,731,371,296,0,667,64,445,218,163,0,381,64,286,153,133,286,0,87,42,45,87,0,0,109,45,0,45,64,135,118,17,2010
TN,10,10276,4372,2605,22,6999,3277,7623,3337,1701,22,5060,2563,2653,1035,904,1939,714,956,367,298,665,291,22,2495,1474,22,1496,999,1679,1075,604,2010
TX,17,35121,10577,8497,117,19191,15930,24078,7028,4104,117,11249,12829,11043,3549,4393,7942,3101,3987,1206,1590,2796,1191,60,6512,2517,60,2577,3935,5133,2688,2445,2010
UT,3,3284,1448,1225,49,2722,562,1926,962,382,49,1393,533,1358,486,843,1329,29,404,149,246,395,9,37,406,88,37,125,281,342,301,41,2010
VA,22,9080,4510,2875,54,7439,1641,5338,3022,890,54,3966,1372,3742,1488,1985,3473,269,1181,481,608,1089,92,32,1510,951,32,983,527,995,830,165,2010
VT,2,1220,611,461,6,1078,142,797,333,333,6,672,125,423,278,128,406,17,167,105,57,162,5,1,133,84,1,85,48,117,104,13,2010
WA,7,22878,6043,10391,55,16489,6389,11901,3883,2767,55,6705,5196,10977,2160,7624,9784,1193,3388,661,2362,3023,365,55,2106,1226,55,1281,825,2043,1282,761,2010
WI,4,6333,2680,2560,13,5253,1080,3040,1542,1043,13,2598,442,3293,1138,1517,2655,638,1080,372,484,856,224,13,727,595,13,608,119,609,581,28,2010
WV,4,2264,908,606,10,1524,740,1527,626,412,10,1048,479,737,282,194,476,261,245,109,60,169,76,7,516,351,7,358,158,576,393,183,2010
WY,1,579,264,251,0,515,64,327,220,49,0,269,58,252,44,202,246,6,90,15,73,88,2,0,101,52,0,52,49,85,71,14,2010
Total,444,637077,222455,179743,1345,403543,233534,395140,123729,87144,1345,212218,182922,241937,98726,92599,191325,50612,79442,32083,30222,62305,17137,1002,106062,42327,1002,43329,62733,74087,43437,30650,2010
AK,2,2128,1035,725,0,1760,368,1286,703,339,0,1042,244,842,332,386,718,124,277,124,116,240,37,0,226,169,0,169,57,288,236,52,2011
AL,8,5558,1615,2100,34,3749,1809,4325,1219,1529,34,2782,1543,1233,396,571,967,266,434,134,194,328,106,34,1046,362,34,396,650,659,387,272,2011
AR,7,3424,1018,784,0,1802,1622,2505,762,558,0,1320,1185,919,256,226,482,437,349,104,83,187,162,0,500,267,0,267,233,411,268,143,2011
AZ,3,10504,3571,3691,40,7302,3202,6403,2245,1399,40,3684,2719,4101,1326,2292,3618,483,1239,406,713,1119,120,40,1939,698,40,738,1201,1528,1018,510,2011
CA,42,125128,26282,24220,189,50691,74437,97964,15920,12919,189,29028,68936,27164,10362,11301,21663,5501,9021,3543,3750,7293,1728,99,30807,5727,99,5826,24981,16783,6689,10094,2011
CO,3,15116,2979,3142,25,6146,8970,4546,1802,824,25,2651,1895,10570,1177,2318,3495,7075,2935,423,731,1154,1781,25,1288,351,25,376,912,2074,1381,693,2011
CT,7,4456,2358,1403,0,3761,695,3071,1622,795,0,2417,654,1385,736,608,1344,41,482,259,206,465,17,0,1043,713,0,713,330,443,396,47,2011
DE,1,1035,549,454,10,1013,22,663,375,256,10,641,22,372,174,198,372,0,116,54,62,116,0,6,70,53,6,59,11,55,53,2,2011
FL,28,56687,9641,11032,151,20824,35863,37584,6849,6934,151,13934,23650,19103,2792,4098,6890,12213,6483,1001,1324,2325,4158,140,10263,3055,140,3195,7068,5644,2276,3368,2011
GA,7,20975,4483,4240,0,8723,12252,15975,3301,2087,0,5388,10587,5000,1182,2153,3335,1665,1661,410,722,1132,529,0,3879,1841,0,1841,2038,2243,1025,1218,2011
HI,2,6188,1076,2531,25,3632,2556,3195,527,525,25,1077,2118,2993,549,2006,2555,438,775,150,500,650,125,19,904,92,19,111,793,505,210,295,2011
IA,3,3134,1179,1834,0,3013,121,1628,765,753,0,1518,110,1506,414,1081,1495,11,472,130,337,467,5,0,315,248,0,248,67,267,255,12,2011
ID,2,2199,797,788,0,1585,614,1310,548,293,0,841,469,889,249,495,744,145,297,92,164,256,41,0,236,129,0,129,107,250,169,81,2011
IL,20,14009,4957,6040,92,11089,2920,8173,3591,2009,92,5692,2481,5836,1366,4031,5397,439,1957,461,1343,1804,153,78,2400,1315,78,1393,1007,1081,765,316,2011
IN,3,6196,2734,2795,21,5550,646,3789,1776,1459,21,3256,533,2407,958,1336,2294,113,758,310,409,719,39,0,602,425,0,425,177,714,638,76,2011
KS,5,2511,1348,860,14,2222,289,1425,756,430,14,1200,225,1086,592,430,1022,64,328,180,129,309,19,7,280,198,7,205,75,384,342,42,2011
KY,3,6034,2496,2675,12,5183,851,3842,1795,1363,12,3170,672,2192,701,1312,2013,179,731,223,455,678,53,5,659,503,5,508,151,636,579,57,2011
LA,9,9291,1223,2133,49,3405,5886,7941,947,1201,49,2197,5744,1350,276,932,1208,142,469,91,333,424,45,11,4352,147,11,158,4194,950,443,507,2011
MA,20,16664,11589,4333,39,15961,703,6344,3102,2531,39,5672,672,10320,8487,1802,10289,31,3531,2803,718,3521,10,22,1666,1297,22,1319,347,1268,1210,58,2011
MD,16,10208,3606,2831,59,6496,3712,6353,2429,1469,59,3957,2396,3855,1177,1362,2539,1316,1338,389,440,829,509,36,1627,767,36,803,824,696,577,119,2011
ME,3,2447,904,1499,15,2418,29,1184,611,531,15,1157,27,1263,293,968,1261,2,427,101,325,426,1,15,212,187,15,202,10,127,121,6,2011
MI,21,13185,5412,5416,36,10864,2321,7634,3492,2193,36,5721,1913,5551,1920,3223,5143,408,1825,647,1042,1689,136,23,1611,1119,23,1142,469,959,755,204,2011
MN,10,7495,3504,3049,14,6567,928,3410,1783,921,14,2718,692,4085,1721,2128,3849,236,1265,473,716,1189,76,14,1211,941,14,955,256,449,371,78,2011
MO,8,8989,3523,3147,48,6718,2271,4657,1830,1385,48,3263,1394,4332,1693,1762,3455,877,1330,546,513,1059,271,45,1156,747,45,792,364,852,627,225,2011
MS,3,2306,429,625,2,1056,1250,1825,273,459,2,734,1091,481,156,166,322,159,141,46,47,93,48,1,438,125,1,126,312,205,114,91,2011
MT,1,1768,708,508,0,1216,552,1094,387,249,0,636,458,674,321,259,580,94,222,99,93,192,30,0,203,76,0,76,127,251,135,116,2011
NC,12,12896,5175,4070,0,9245,3651,8303,3659,2376,0,6035,2268,4593,1516,1694,3210,1383,1460,500,558,1058,402,0,1365,845,0,845,520,1248,941,307,2011
ND,1,603,415,145,0,560,43,396,283,83,0,366,30,207,132,62,194,13,60,33,22,55,5,0,67,63,0,63,4,124,121,3,2011
NE,3,3548,1623,1418,0,3041,507,2210,1166,706,0,1872,338,1338,457,712,1169,169,433,163,213,376,57,0,445,361,0,361,84,310,253,57,2011
NH,3,1469,582,569,8,1159,310,820,419,204,8,631,189,649,163,365,528,121,243,71,132,203,40,5,166,88,5,93,73,126,118,8,2011
NJ,19,14137,8110,4700,20,12830,1307,6841,4407,1533,20,5960,881,7296,3703,3167,6870,426,2556,1322,1096,2418,138,0,750,610,0,610,140,811,668,143,2011
NM,2,3601,1693,1060,0,2753,848,2246,1238,343,0,1581,665,1355,455,717,1172,183,430,145,226,371,59,0,971,564,0,564,407,364,221,143,2011
NV,3,9150,1436,3084,25,4545,4605,7973,1140,2238,25,3403,4570,1177,296,846,1142,35,381,94,274,368,13,3,1342,184,3,187,1155,1240,692,548,2011
NY,32,63445,49471,10179,128,59778,3667,27338,17222,6492,128,23842,3496,36107,32249,3687,35936,171,11988,10698,1234,11932,56,126,3840,1629,126,1755,2085,5765,5246,519,2011
OH,9,13030,5997,5134,93,11224,1806,7812,4049,2187,93,6329,1483,5218,1948,2947,4895,323,1683,638,944,1582,101,75,1881,1213,75,1288,593,1279,1083,196,2011
